source,pt_PT
"|||			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.|||			Please add a stock quantity of {4} to proceed with this entry.|||			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.|||			However, enabling this setting may lead to negative stock in the system.|||			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","|||			O Lote {0} de um item {1} possui estoque negativo no armazém {2}{3}.|||			Adicione uma quantidade em estoque de {4} para prosseguir com esta entrada.|||			Se não for possível fazer uma entrada de ajuste, ative 'Permitir estoque negativo para lote' nas configurações de estoque para prosseguir.|||			Contudo, habilitar esta configuração pode levar a estoque negativo no sistema.|||			Portanto, certifique-se de que os níveis de estoque sejam ajustados o mais rápido possível para manter a taxa de avaliação correta."
 Address,Endereço
 Amount,Quantia
 BOM,BOM
 Is Child Table,É mesa infantil
 Is Subcontracted,É subcontratado
 Item,Item
 Name,Nome
 Phantom Item,Item Fantasma
 Rate,Avaliar
 Raw Material,Matéria-prima
 Skip Material Transfer,Pular transferência de material
 Sub Assembly,Submontagem
 Summary,Resumo
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""É ativo fixo"" não pode ser desmarcado, pois existe registro de ativo no item"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" para ""SN-01"" a ""SN-10"""
# In Stock,# Em estoque
# Req'd Items,# Itens necessários
%  Delivered,%  Entregue
% Amount Billed,% Valor faturado
% Billed,% faturada
% Complete Method,% Método concluído
% Completed,% Concluído
% Cost Allocation,% de alocação de custos
% Finished Item Quantity,% Quantidade de itens acabados
% Installed,% Instalado
% Of Grand Total,% do total geral
% Ordered,% encomendada
% Picked,% escolhido
% Process Loss,% Perda de Processo
% Produced,% Produzido
% Progress,% de progresso
% Raw Material Received,% Matéria Prima Recebida
% Raw Material Returned,% de matéria-prima devolvida
% Received,% Recebido
% Returned,% Devolvida
% of materials billed against this Sales Order,% de materiais faturados nesta ordem de vendas
% of materials delivered against this Pick List,% de materiais entregues nesta lista de seleção
% of materials delivered against this Sales Order,% de materiais entregues nesta ordem de vendas
'Account' in the Accounting section of Customer {0},'Conta' na seção Contabilidade do Cliente {0}
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Permitir várias ordens de vendas em relação à ordem de compra de um cliente'
'Default {0} Account' in Company {1},'Conta {0} padrão' na empresa {1}
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Inspeção necessária antes da entrega' foi desativada para o item {0}, não há necessidade de criar o QI"
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Inspeção necessária antes da compra' foi desativada para o item {0}, não há necessidade de criar o QI"
'To Package No.' cannot be less than 'From Package No.','Para o pacote nº.' não pode ser inferior a 'Do pacote No.'
'{0}' account is already used by {1}. Use another account.,A conta '{0}' já é usada por {1}. Use outra conta.
'{0}' has been already added.,'{0}' já foi adicionado.
'{0}' should be in company currency {1}.,'{0}' deve estar na moeda da empresa {1}.
(A) Qty After Transaction,(A) Quantidade após transação
(B) Expected Qty After Transaction,(B) Quantidade esperada após a transação
(C) Total Qty in Queue,(C) Quantidade total na fila
(C) Total qty in queue,(C) Quantidade total na fila
(D) Balance Stock Value,(D) Valor do estoque de equilíbrio
(Daily Yield * No of Units Produced) / 100,(Rendimento Diário * Nº de Unidades Produzidas) / 100
(E) Balance Stock Value in Queue,(E) Saldo do valor do estoque na fila
(F) Change in Stock Value,(F) Alteração no valor do estoque
(G) Sum of Change in Stock Value,(G) Soma da variação no valor das ações
(Good Units Produced / Total Units Produced) × 100,(Boas Unidades Produzidas / Total de Unidades Produzidas) × 100
(H) Change in Stock Value (FIFO Queue),(H) Alteração no valor do estoque (fila FIFO)
(H) Valuation Rate,(H) Taxa de Avaliação
(Hour Rate / 60) * Actual Operation Time,(Taxa horária / 60) * Tempo real de operação
(I) Valuation Rate,(I) Taxa de Avaliação
(J) Valuation Rate as per FIFO,(J) Taxa de avaliação conforme FIFO
(K) Valuation = Value (D) ÷ Qty (A),(K) Avaliação = Valor (D) ÷ Quantidade (A)
(Purchase Order + Material Request + Actual Expense),(Ordem de Compra + Solicitação de Material + Despesa Real)
(Total Workstation Time / Manufacturing Time) * 60,(Tempo total da estação de trabalho/Tempo de fabricação) * 60
(including),(incluindo)
(none),(nenhum)
* Will be calculated in the transaction.,*Será calculado na transação.
0 - 30 Days,0 - 30 dias
0-30,0-30
0-30 Days,0-30 dias
1 Loyalty Points = How much base currency?,1 Pontos de Fidelidade = Quanta moeda base?
1{0},1{0}
2 Yearly,2 Anualmente
3 Yearly,3 Anualmente
30 - 60 Days,30 - 60 dias
30 mins,30 minutos
30-60,30-60
30-60 Days,30-60 dias
6 hrs,6 horas
60 - 90 Days,60 - 90 dias
60-90,60-90
60-90 Days,60-90 dias
90 - 120 Days,90 - 120 dias
90 Above,90 acima
<0,<0
"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.","<b>Não é possível criar recurso.</b><br><br>Você está tentando criar <b>{0} recurso(s)</b> de {2} {3}.<br>No entanto, apenas <b>{1} item(s)</b> foram comprados e já existem <b>{4} recurso(s)</b> em {5}."
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Hora inicial</b> não pode ser posterior a <b>Hora final</b> de {0}
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>Linha nº{0}:</b> o pacote {1} no armazém {2} tem itens embalados insuficientes:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>
"<br>|||<h4>Note</h4>|||<ul>|||<li>|||You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.|||</li><li>|||    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.|||</li></ul>|||<h4> Examples</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Body</b>: <br><br>|||<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->","<br>|||<h4>Observação</h4>|||<ul>|||<li>|||Você pode usar <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Tags Jinja</a> nos campos <b>Assunto</b> e <b>Corpo</b> para valores dinâmicos.|||</li><li>|||    Todos os campos neste tipo de documento estão disponíveis no objeto <b>doc</b> e todos os campos do cliente para quem o e-mail será enviado estão disponíveis no objeto <b>customer</b>.|||</li></ul>|||<h4> Exemplos</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Assunto</b>:<br><br><pre><code>Declaração de contas para {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Body</b>: <br><br>|||<pre><code>Olá {{ customer.customer_name }},<br>PFA seu extrato de contas de {{ doc.from_date }} a {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->"
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Outros detalhes</div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Nenhuma transação bancária correspondente encontrada</div>"
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>"
<div>|||<h3> All dimensions in centimeter only </h3>|||</div>,<div>|||<h3> Todas as dimensões apenas em centímetros </h3>|||</div>
