Address,Endereço
Amount,Quantia
BOM,BOM
Is Child Table,É uma mesa infantil
Is Subcontracted,Está subcontratado
Item,Item
Name,Nome
Rate,Avaliar
Raw Material,Matéria-prima
Reserve Stock,Stock de reserva
Skip Material Transfer,Pule a transferência de material
Sub Assembly,Subconjunto
Summary,Resumo
"""Customer Provided Item"" cannot be Purchase Item also","""Item fornecido pelo cliente"" não pode ser um item de compra também"
"""Customer Provided Item"" cannot have Valuation Rate","""Item fornecido pelo cliente"" não pode ter taxa de avaliação"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Is Fixed Asset"" não pode ser desmarcado, pois existe um registro de ativos contra o item"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01 :: 10"" para ""SN-01"" para ""SN-10"""
# In Stock,# Em stock
# Req'd Items,# Itens req'd
%  Delivered,%  Entregue
% Amount Billed,% Valor cobrado
% Billed,% Faturado
% Complete Method,% Método completo
% Completed,% Concluído
% Finished Item Quantity,% Quantidade de item acabado
% Installed,% Instalado
% Occupied,% Ocupado
% Of Grand Total,% Do grande total
% Ordered,% Ordenado
% Picked,% Escolhido
% Process Loss,% De perda de processo
% Progress,% Progresso
% Received,% Recebido
% Returned,% Retornou
% of materials billed against this Sales Order,% dos materiais cobrados em relação a esta ordem de vendas
% of materials delivered against this Sales Order,% dos materiais entregues em relação a este pedido de vendas
'Account' in the Accounting section of Customer {0},'Conta' na seção contábil do cliente {0}
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Permitir vários pedidos de vendas contra o pedido de compra de um cliente'
'Based On' and 'Group By' can not be same,'Baseado em' e 'grupo por' não pode ser o mesmo
'Date' is required,'Data' é necessário
'Days Since Last Order' must be greater than or equal to zero,'Dias desde que a última ordem' deve ser maior ou igual a zero
'Default {0} Account' in Company {1},'Padrão {0} conta' na empresa {1}
'Entries' cannot be empty,'Entradas' não pode estar vazio
'From Date' is required,'Da data' é necessário
'From Date' must be after 'To Date','Da data' deve estar depois de 'até agora'
'Has Serial No' can not be 'Yes' for non-stock item,'Tem serial não' não pode ser 'sim' para item ininterrupto
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Inspeção necessária antes da entrega' desativou o item {0}, não é necessário criar o qi"
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Inspeção necessária antes da compra' desativou o item {0}, não é necessário criar o qi"
'Opening','Abertura'
'To Date' is required,'Até o momento' é necessário
'To Package No.' cannot be less than 'From Package No.','Para embalar No.' não pode ser menor que 'do pacote nº'
'Update Stock' can not be checked because items are not delivered via {0},'Atualizar o stock' não pode ser verificado porque os itens não são entregues via {0}
'Update Stock' cannot be checked for fixed asset sale,'Stock de atualização' não pode ser verificado para venda de ativos fixa
'{0}' account is already used by {1}. Use another account.,'{0}' A conta já é usada por {1}. Use outra conta.
'{0}' has been already added.,'{0}' já foi adicionado.
'{0}' should be in company currency {1}.,'{0}' deve estar na moeda da empresa {1}.
(A) Qty After Transaction,(A) Qtd após transação
(B) Expected Qty After Transaction,(B) qty esperado após a transação
(C) Total Qty in Queue,(C) Qtd total na fila
(C) Total qty in queue,(C) Qtd total na fila
(D) Balance Stock Value,(D) Balance o valor do stock
(E) Balance Stock Value in Queue,(E) Balance o valor do stock na fila
(F) Change in Stock Value,(F) Mudança no valor do stock
(Forecast),(Previsão)
(G) Sum of Change in Stock Value,(G) Soma da mudança no valor do stock
